Alert: Arbitrage Bot started!
ETH-USDT: $4397.8 | Bid: $4397.79 | Ask: $4397.8
SOL-USDT: $187.82 | Bid: $187.81 | Ask: $187.82
BTC-USDT: $116491 | Bid: $116491 | Ask: $116491.1
ETH-USDT: $4395.02 | Bid: $4395.01 | Ask: $4395.02
SOL-USDT: $187.65 | Bid: $187.62 | Ask: $187.63
BTC-USDT: $116500.8 | Bid: $116500.8 | Ask: $116500.9
ETH-USDT: $4395.48 | Bid: $4395.48 | Ask: $4395.49
SOL-USDT: $187.55 | Bid: $187.54 | Ask: $187.55
BTC-USDT: $116568.1 | Bid: $116568 | Ask: $116568.1
ETH-USDT: $4399.78 | Bid: $4399.4 | Ask: $4399.41
SOL-USDT: $187.69 | Bid: $187.69 | Ask: $187.7
BTC-USDT: $116526.6 | Bid: $116526.6 | Ask: $116526.7
ETH-USDT: $4393.63 | Bid: $4394.09 | Ask: $4394.1
SOL-USDT: $187.48 | Bid: $187.49 | Ask: $187.5
BTC-USDT: $116583.9 | Bid: $116583.8 | Ask: $116583.9
ETH-USDT: $4398.9 | Bid: $4398.89 | Ask: $4398.9
SOL-USDT: $187.61 | Bid: $187.63 | Ask: $187.64
BTC-USDT: $116579.9 | Bid: $116574 | Ask: $116574.1
ETH-USDT: $4398.39 | Bid: $4398.18 | Ask: $4398.19
SOL-USDT: $187.63 | Bid: $187.61 | Ask: $187.62
BTC-USDT: $116571.5 | Bid: $116570 | Ask: $116570.1
ETH-USDT: $4399.49 | Bid: $4399.49 | Ask: $4399.5
SOL-USDT: $187.64 | Bid: $187.61 | Ask: $187.62
BTC-USDT: $116544.7 | Bid: $116544.6 | Ask: $116544.7
ETH-USDT: $4400.41 | Bid: $4400.59 | Ask: $4400.6
SOL-USDT: $187.73 | Bid: $187.74 | Ask: $187.75
BTC-USDT: $116628 | Bid: $116628 | Ask: $116628.1
ETH-USDT: $4403.98 | Bid: $4403.81 | Ask: $4403.82
SOL-USDT: $187.75 | Bid: $187.71 | Ask: $187.72
BTC-USDT: $116630 | Bid: $116630 | Ask: $116630.1
ETH-USDT: $4404.41 | Bid: $4404.41 | Ask: $4404.42
SOL-USDT: $187.65 | Bid: $187.64 | Ask: $187.65
BTC-USDT: $116633.4 | Bid: $116633.3 | Ask: $116633.4
ETH-USDT: $4405.66 | Bid: $4405.79 | Ask: $4405.8
SOL-USDT: $187.66 | Bid: $187.65 | Ask: $187.66
BTC-USDT: $116568.1 | Bid: $116568 | Ask: $116568.1
ETH-USDT: $4402.39 | Bid: $4402.39 | Ask: $4402.4
SOL-USDT: $187.57 | Bid: $187.56 | Ask: $187.57
BTC-USDT: $116576 | Bid: $116579.5 | Ask: $116579.6
ETH-USDT: $4403.48 | Bid: $4403.22 | Ask: $4403.49
SOL-USDT: $187.55 | Bid: $187.54 | Ask: $187.55
BTC-USDT: $116574.1 | Bid: $116574 | Ask: $116574.1
ETH-USDT: $4401.44 | Bid: $4401.93 | Ask: $4401.94
SOL-USDT: $187.45 | Bid: $187.44 | Ask: $187.45
BTC-USDT: $116560.1 | Bid: $116560 | Ask: $116560.1
ETH-USDT: $4401.31 | Bid: $4401.3 | Ask: $4401.65
SOL-USDT: $187.39 | Bid: $187.38 | Ask: $187.39
BTC-USDT: $116551.3 | Bid: $116551.2 | Ask: $116551.3
ETH-USDT: $4400.99 | Bid: $4400.98 | Ask: $4400.99
SOL-USDT: $187.4 | Bid: $187.4 | Ask: $187.41
BTC-USDT: $116527.9 | Bid: $116527.8 | Ask: $116527.9
